strategy,candidate_signals,executed_trades,gross_pnl_usd,net_pnl_usd,gross_bps_per_trade,net_bps_per_trade,win_rate,max_drawdown_usd
S0_BREAKOUT,18849,9002,-138.73859912351548,-13641.738599123515,-0.15411975019275218,-15.154119750192752,0.024772272828260385,13641.738599123535
S1_BREAKOUT_VOL,4898,2733,4.8158726312187445,-4094.6841273687814,0.017621195138012236,-14.982378804861986,0.02561287961946579,4094.684127368781
S2_BREAKOUT_VOL_ER,3386,1877,12.79718242466086,-2802.702817575339,0.0681789154217414,-14.931821084578257,0.031965903036760786,2802.7028175753385
S3_BREAKOUT_VOL_ER_VOLUME,2213,1433,12.256664236972476,-2137.2433357630275,0.08553150200259928,-14.9144684979974,0.030704815073272853,2137.2433357630293
S4_BREAKOUT_VOL_ER_VOLUME_ETH,2124,1371,22.47158467375287,-2034.028415326247,0.16390652570206324,-14.836093474297938,0.03282275711159737,2034.028415326249
MR0_MEAN_REVERSION,6447,5004,14.146198301168031,-7491.853801698832,0.02826978077771389,-14.971730219222286,,
